platform,problem,title,url,engagement,engagement_kind,reach,reach_kind,kind,words,code_blocks,responses,status,tags,question_shaped_title,created,last_activity,why_selected
Stack Overflow,docx to markdown,How can doc/docx files be converted to markdown or structured text?,https://stackoverflow.com/questions/16383237/how-can-doc-docx-files-be-converted-to-markdown-or-structured-text,155,votes,180033,views,question,43,0,14,answered,"ms-office,converters,markdown,doc",True,1367746892,1734538828,The most-viewed conversion question in the pool. People arrive here when a document has to leave Word.
Stack Overflow,markdown to docx,"Markdown to docx, including complex template",https://stackoverflow.com/questions/14249811/markdown-to-docx-including-complex-template,91,votes,78169,views,question,100,1,5,answered,"markdown,docx,pandoc",False,1357783936,1723656044,"The same journey in reverse, and it asks specifically about keeping a template intact."
Stack Overflow,pdf tables,Extract / Identify Tables from PDF python,https://stackoverflow.com/questions/28532770/extract-identify-tables-from-pdf-python,54,votes,126686,views,question,154,0,3,answered,"python,pdf,pdf-parsing,pdf-scraping",False,1424045054,1722872809,"Table extraction from PDF, one of the highest-reach questions in the set."
Stack Overflow,pdf tables,How to extract a table as text from the PDF,https://stackoverflow.com/questions/47533875/how-to-extract-a-table-as-text-from-the-pdf,58,votes,159685,views,question,87,1,4,answered,"python,pdf,text-extraction,pdf-parsing",True,1511879005,1701983515,"A second table question with comparable reach, which shows the demand is not one thread."
Stack Overflow,edit without losing style,Python docx Replace string in paragraph while keeping style,https://stackoverflow.com/questions/34779724/python-docx-replace-string-in-paragraph-while-keeping-style,25,votes,68687,views,question,181,1,10,answered,"python,python-2.7,python-docx",False,1452731958,1718007651,"The closest thing in the pool to what editing inside a document is for: change the words, keep the formatting."
Stack Overflow,styles through conversion,Add styling rules in pandoc tables for odt/docx output (table borders),https://stackoverflow.com/questions/17858598/add-styling-rules-in-pandoc-tables-for-odt-docx-output-table-borders,36,votes,24806,views,question,179,1,10,answered,"docx,pandoc,odt",False,1374756811,1770212242,"Table styling surviving a conversion, still drawing activity."
Stack Overflow,diffing documents,Diff 2 Open XML Word Documents,https://stackoverflow.com/questions/4224649/diff-2-open-xml-word-documents,8,votes,6057,views,question,35,0,6,answered,"c#,openxml",False,1290167261,1775993429,Comparing two Word files at the XML level.
Stack Overflow,comments,Inserting a comment in docx file using python 3,https://stackoverflow.com/questions/53892070/inserting-a-comment-in-docx-file-using-python-3,4,votes,8161,views,question,126,0,2,answered,"python,docx,python-docx",False,1545437624,1752858698,"Adding a comment to a docx from code, which most libraries skip entirely."
GitHub,tracked changes,feat(docx-io): add tracked changes and comments import/export,https://github.com/cicero-im/plate/pull/66,3,reactions,37,comments,issue/PR,2448,1,37,open,,False,2026-02-13T05:05:22Z,2026-05-19T21:36:38Z,"Open 2026 work on importing and exporting tracked changes and comments, with a real thread on it."
GitHub,docx import/export,"WIP: DOCX import/export functionality

- Import and export are working
- Known issue: import (docx → html/plate) is losing styles somewhere in the code
- Needs investigation to determine where styles are being dropped during conversion

Amp-Thread-ID: https://ampcode.com/threads/T-6fd783d6-8524-4046-aed8-95fbbc1c5f6a
Co-authored-by: Amp <[email redacted]>",https://github.com/cicero-im/plate/pull/131,3,reactions,25,comments,issue/PR,4090,1,25,open,,False,2026-02-22T00:38:27Z,2026-05-19T21:36:38Z,Active 2026 work on getting docx in and out of an editor.
GitHub,tables,[Feature] Use HTML Tables Instead of Markdown Syntax for Better Table Support,https://github.com/microsoft/markitdown/issues/1211,11,reactions,4,comments,issue/PR,442,1,4,open,,False,2025-04-25T07:28:19Z,2026-06-12T03:11:56Z,"The most-reacted feature request in the pool, about tables surviving a format change."
GitHub,AI editing in Word,fix: Suggestion: Word Add-In and DOCX Editing Feature — AI-Powered Document Redlining with Live Tracked Changes,https://github.com/LegalQuants/lq-ai/pull/315,0,reactions,1,comments,issue/PR,1566,2,1,open,,False,2026-07-22T04:31:23Z,2026-07-24T17:05:39Z,"A 2026 request for AI editing inside Word itself, which is exactly this product surface."
Hacker News,pdf tables,tabulapdf/tabula-java,https://github.com/tabulapdf/tabula-java,148,points,22,comments,project,816,5,2037,2037 stars,"extracting-tables,extraction-engine,pdfs",False,2021-06-07T05:46:06Z,2021-06-07T05:46:06Z,The highest-scoring document story in the pool and the tool people still link to.
Hacker News,agents on documents,PSPDFKit/nutrient-dws-mcp-server,https://github.com/PSPDFKit/nutrient-dws-mcp-server,8,points,0,comments,project,3190,7,68,68 stars,"ai-agents,claude,document-ai,document-processing",False,2025-05-19T16:56:32Z,2025-05-19T16:56:32Z,An MCP server for document processing — the 2026 shape of this problem.
Hacker News,docx libraries,Lulzx/tinydocx,https://github.com/Lulzx/tinydocx,6,points,0,comments,project,558,13,11,11 stars,"document,docx,images,lists",False,2025-12-22T16:26:07Z,2025-12-22T16:26:07Z,"A 2025 Word/ODT library, which says the tooling layer is still being rebuilt."
